Timestamp,Elapsed_Time_s,Temp1_C,Temp2_C,Temp3_C,Volt1_V,Volt2_V,Volt3_V,Volt4_V,Set_Rudder_deg,Actual_Rudder_deg
2025-08-10T00:35:01.656076,10.789,25.09,587.29,25.69,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:01.987584,11.120,25.07,587.29,25.64,3.25,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:01.987584,11.120,25.07,588.32,25.67,3.27,3.26,3.25,3.28,0,0.7
2025-08-10T00:35:02.321609,11.454,25.07,587.29,25.69,3.27,3.25,3.25,3.29,0,164212.0
2025-08-10T00:35:02.321609,11.454,25.03,586.18,25.69,3.26,3.27,3.25,3.28,0,164212.0
2025-08-10T00:35:02.652487,11.785,25.09,583.56,25.67,3.26,3.25,3.26,3.29,0,164212.0
2025-08-10T00:35:02.654489,11.787,25.07,586.18,25.80,3.26,3.27,3.25,3.29,0,164212.0
2025-08-10T00:35:02.654489,11.787,25.09,587.29,25.69,3.27,3.26,3.24,3.29,0,164212.0
2025-08-10T00:35:02.985155,12.118,25.07,587.29,25.71,3.27,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:03.412818,12.545,25.09,584.94,25.67,3.26,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:03.412818,12.545,25.03,588.32,25.64,3.27,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:03.415383,12.548,25.09,586.18,25.64,3.26,3.27,3.24,3.29,0,164212.0
2025-08-10T00:35:03.852366,12.985,25.05,586.18,25.69,3.26,3.26,3.26,3.29,0,164212.0
2025-08-10T00:35:03.852366,12.985,25.05,586.18,25.64,3.27,3.26,3.24,3.29,0,164212.0
2025-08-10T00:35:03.854376,12.987,25.09,586.18,25.67,3.26,3.27,3.25,3.28,0,164212.0
2025-08-10T00:35:04.297031,13.429,25.07,587.29,25.67,3.27,3.26,3.25,3.29,0,164212.0
2025-08-10T00:35:04.300306,13.433,25.07,587.29,25.69,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:04.725183,13.858,25.01,586.18,25.64,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:04.725183,13.858,25.07,587.29,25.69,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:04.725183,13.858,25.07,586.18,25.67,3.26,3.27,3.25,3.35,0,0.7
2025-08-10T00:35:05.159888,14.292,25.07,587.29,25.67,3.27,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:05.159888,14.292,25.05,588.32,25.69,3.27,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:05.167434,14.300,25.09,587.29,25.71,3.26,3.27,3.24,3.29,0,163949.9
2025-08-10T00:35:05.494102,14.627,25.05,587.29,25.69,3.27,3.26,3.24,3.30,0,163949.9
2025-08-10T00:35:05.494611,14.627,25.07,586.18,25.67,3.25,3.28,3.25,3.29,0,163949.9
2025-08-10T00:35:05.825204,14.958,25.05,584.94,25.64,3.25,3.27,3.25,3.27,0,163949.9
2025-08-10T00:35:05.825204,14.958,25.05,584.94,25.62,3.27,3.25,3.25,3.29,0,163949.9
2025-08-10T00:35:05.828474,14.961,25.07,587.29,25.64,3.26,3.27,3.25,3.29,0,163949.9
2025-08-10T00:35:06.156902,15.289,25.07,583.56,25.67,3.26,3.27,3.24,3.29,0,0.7
2025-08-10T00:35:06.472367,15.605,25.09,588.32,25.62,3.27,3.25,3.26,3.29,0,0.7
2025-08-10T00:35:06.472367,15.605,25.07,590.13,25.71,3.26,3.27,3.24,3.28,0,0.7
2025-08-10T00:35:06.475230,15.608,25.07,587.29,25.67,3.27,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:06.475230,15.608,25.09,587.29,25.67,3.26,3.26,3.25,3.29,0,0.7
2025-08-10T00:35:06.804196,15.937,25.03,586.18,25.67,3.27,3.27,3.24,3.29,0,0.7
2025-08-10T00:35:06.806208,15.939,25.07,587.29,25.67,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:07.149309,16.282,25.05,586.18,25.64,3.27,3.27,3.24,3.26,0,0.7
2025-08-10T00:35:07.461097,16.594,25.07,590.95,25.69,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:07.461097,16.594,25.03,586.18,25.82,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:07.896044,17.028,25.53,586.18,25.64,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:07.896994,17.029,25.05,586.18,25.67,3.25,3.28,3.24,3.28,0,0.7
2025-08-10T00:35:07.896994,17.029,25.07,587.29,25.64,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:08.225451,17.358,25.03,587.29,25.69,3.26,3.27,3.25,3.29,0,0.7
2025-08-10T00:35:08.228174,17.361,25.01,587.29,25.69,3.26,3.27,3.25,3.33,0,0.7
2025-08-10T00:35:08.559056,17.692,25.03,587.29,25.73,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:08.559772,17.692,25.05,586.18,25.80,3.26,3.27,3.25,3.28,0,0.7
2025-08-10T00:35:08.889876,18.022,25.07,583.56,25.67,3.27,3.25,3.25,3.28,0,0.7
2025-08-10T00:35:08.889876,18.022,25.07,586.18,25.67,3.26,3.25,3.27,3.29,0,0.7
2025-08-10T00:35:08.892405,18.025,25.09,586.18,25.69,3.26,3.26,3.25,3.28,0,0.7
