Timestamp,Elapsed_Time_s,Temp1,Temp2,Temp3,Volt1,Volt2,Volt3,Volt4,Actual_rdr_deg,Set_rdr_deg,IMU_roll,IMU_pitch,IMU_integral,IMU_derivative,IMU_heading,Desired_heading,Data_wind_spd,Data_wind_dir
2025-11-08T03:17:36.708423,27.572,20.12,565.38,20.31,3.23,3.22,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:37.002501,27.866,20.19,577.97,20.31,3.23,3.24,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:37.285346,28.149,20.14,508.41,20.34,3.23,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:37.561976,28.425,20.12,571.46,20.36,3.23,3.23,3.23,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,319.0
2025-11-08T03:17:37.844453,28.708,20.14,571.46,20.31,3.25,3.22,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:38.128272,28.992,20.14,565.38,20.36,3.24,3.23,3.22,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:38.415549,29.279,20.12,571.46,20.36,3.24,3.23,3.22,3.28,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,181.0
2025-11-08T03:17:38.704759,29.568,20.19,575.21,20.38,3.22,3.26,3.22,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:38.979957,29.843,20.49,508.41,20.38,3.24,3.23,3.23,3.26,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
2025-11-08T03:17:39.267747,30.131,20.12,565.38,20.31,3.24,3.27,3.18,3.27,6.67,6.0,0.0,0.0,-10000.0,0.0,180.0,,0.0,272.0
